card,chosen card,success,matched on categories,active rule,win streak
"2,star,yellow","1,triangle,red",False,[],number,0
"1,circle,green","2,star,green",False,['color'],number,0
"2,triangle,blue","3,square,yellow",False,[],number,0
"4,triangle,green","4,circle,blue",True,['number'],number,1
"1,square,green","1,triangle,red",True,['number'],number,2
"2,square,yellow","2,star,green",True,['number'],number,3
"1,star,green","3,square,yellow",False,[],number,0
"4,star,green","4,circle,blue",True,['number'],number,1
"4,square,blue","1,triangle,red",False,[],number,0
"4,triangle,blue","2,star,green",False,[],number,0
"1,triangle,blue","3,square,yellow",False,[],number,0
"4,star,red","1,triangle,red",False,['color'],number,0
"2,circle,yellow","2,star,green",True,['number'],number,1
"1,star,blue","3,square,yellow",False,[],number,0
"3,square,yellow","1,triangle,red",False,[],number,0
"4,triangle,red","4,circle,blue",True,['number'],number,1
"1,triangle,green","1,triangle,red",True,"['shape', 'number']",number,2
"2,square,blue","3,square,yellow",False,['shape'],number,0
"1,triangle,red","1,triangle,red",True,"['shape', 'color', 'number']",number,1
"2,circle,green","2,star,green",True,"['color', 'number']",number,2
"1,square,red","4,circle,blue",False,[],number,0
"2,star,green","1,triangle,red",False,[],number,0
"1,circle,yellow","2,star,green",False,[],number,0
"2,triangle,red","3,square,yellow",False,[],number,0
"4,star,yellow","4,circle,blue",True,['number'],number,1
"1,square,yellow","1,triangle,red",True,['number'],number,2
"3,triangle,yellow","2,star,green",False,[],number,0
"2,circle,blue","3,square,yellow",False,[],number,0
"3,square,red","1,triangle,red",False,['color'],number,0
"1,circle,red","2,star,green",False,[],number,0
"3,star,blue","3,square,yellow",True,['number'],number,1
"2,square,green","1,triangle,red",False,[],number,0
"2,triangle,green","2,star,green",True,"['color', 'number']",number,1
"3,triangle,red","3,square,yellow",True,['number'],number,2
"3,square,green","1,triangle,red",False,[],number,0
"3,circle,yellow","2,star,green",False,[],number,0
"1,circle,blue","3,square,yellow",False,[],number,0
"1,triangle,yellow","2,star,green",False,[],number,0
"3,star,red","1,triangle,red",False,['color'],number,0
"2,star,red","3,square,yellow",False,[],number,0
"4,circle,yellow","2,star,green",False,[],number,0
"4,triangle,yellow","1,triangle,red",False,['shape'],number,0
"2,star,blue","3,square,yellow",False,[],number,0
"3,circle,blue","1,triangle,red",False,[],number,0
"1,square,blue","2,star,green",False,[],number,0
"3,star,green","3,square,yellow",True,['number'],number,1
"2,square,red","4,circle,blue",False,[],number,0
"4,circle,blue","1,triangle,red",False,[],number,0
"2,circle,red","2,star,green",True,['number'],number,1
"3,triangle,blue","3,square,yellow",True,['number'],number,2
"1,star,yellow","4,circle,blue",False,[],number,0
"4,square,yellow","1,triangle,red",False,[],number,0
"1,star,red","2,star,green",False,['shape'],number,0
"3,star,yellow","3,square,yellow",True,"['color', 'number']",number,1
"4,circle,red","4,circle,blue",True,"['shape', 'number']",number,2
"4,square,green","1,triangle,red",False,[],number,0
"2,triangle,yellow","2,star,green",True,['number'],number,1
"4,square,red","3,square,yellow",False,['shape'],number,0
"4,star,blue","4,circle,blue",True,"['color', 'number']",number,1
"3,circle,red","1,triangle,red",False,['color'],number,0
"3,circle,green","2,star,green",False,['color'],number,0
"3,triangle,green","3,square,yellow",True,['number'],number,1
"3,square,blue","4,circle,blue",False,['color'],number,0
"4,circle,green","1,triangle,red",False,[],number,0
