card,chosen card,success,matched on categories,active rule,win streak
"4,triangle,yellow","4,circle,blue",True,['number'],number,1
"3,square,yellow","3,square,yellow",True,"['shape', 'color', 'number']",number,2
"3,triangle,yellow","3,square,yellow",True,"['color', 'number']",number,3
"1,star,yellow","1,triangle,red",True,['number'],number,4
"1,triangle,blue","1,triangle,red",True,"['shape', 'number']",number,5
"1,triangle,yellow","1,triangle,red",True,"['shape', 'number']",shape,1
"1,circle,red","1,triangle,red",False,"['color', 'number']",shape,0
"4,circle,red","4,circle,blue",True,"['shape', 'number']",shape,1
"2,circle,green","2,star,green",False,"['color', 'number']",shape,0
"3,star,green","3,square,yellow",False,['number'],shape,0
"4,square,red","4,circle,blue",False,['number'],shape,0
"2,star,blue","2,star,green",True,"['shape', 'number']",shape,1
"1,circle,yellow","1,triangle,red",False,['number'],shape,0
"2,square,green","2,star,green",False,"['color', 'number']",shape,0
