card,chosen card,success,matched on categories,active rule,win streak
"4,square,blue","4,circle,blue",True,"['color', 'number']",number,1
"2,star,red","1,triangle,red",False,['color'],number,0
"2,circle,green","2,star,green",True,"['color', 'number']",number,1
"2,star,yellow","2,star,green",True,"['shape', 'number']",number,2
"2,square,green","2,star,green",True,"['color', 'number']",number,3
"4,star,yellow","4,circle,blue",True,['number'],number,4
"1,star,blue","1,triangle,red",True,['number'],number,5
"2,triangle,blue","2,star,green",False,['number'],shape,0
"1,circle,green","4,circle,blue",True,['shape'],shape,1
"2,square,red","3,square,yellow",True,['shape'],shape,2
"1,triangle,red","1,triangle,red",True,"['shape', 'color', 'number']",shape,3
"4,triangle,yellow","1,triangle,red",True,['shape'],shape,4
"3,star,red","2,star,green",True,['shape'],shape,5
"1,triangle,yellow","1,triangle,red",False,"['shape', 'number']",color,0
