card,chosen card,success,matched on categories,active rule,win streak
"4,circle,green","2,star,green",False,['color'],shape,0
"2,square,yellow","3,square,yellow",True,"['shape', 'color']",shape,1
"3,square,green","3,square,yellow",True,"['shape', 'number']",shape,2
"4,star,green","2,star,green",True,"['shape', 'color']",shape,3
"2,circle,green","4,circle,blue",True,['shape'],shape,4
"1,star,green","2,star,green",True,"['shape', 'color']",shape,5
"4,triangle,blue","1,triangle,red",False,['shape'],number,0
"2,triangle,yellow","2,star,green",True,['number'],number,1
"3,star,green","3,square,yellow",True,['number'],number,2
"4,square,red","4,circle,blue",True,['number'],number,3
"2,triangle,blue","2,star,green",True,['number'],number,4
"1,triangle,red","1,triangle,red",True,"['shape', 'color', 'number']",number,5
"4,circle,blue","4,circle,blue",True,"['shape', 'color', 'number']",shape,1
"1,square,yellow","1,triangle,red",False,['number'],shape,0
