card,chosen card,success,matched on categories,active rule,win streak
"4,circle,green","2,star,green",False,['color'],shape,0
"4,triangle,green","1,triangle,red",True,['shape'],shape,1
"3,circle,green","4,circle,blue",True,['shape'],shape,2
"3,triangle,blue","1,triangle,red",True,['shape'],shape,3
"2,circle,yellow","4,circle,blue",True,['shape'],shape,4
"1,square,green","3,square,yellow",True,['shape'],shape,5
"3,circle,red","4,circle,blue",False,['shape'],number,0
"2,square,blue","2,star,green",True,['number'],number,1
"4,triangle,red","4,circle,blue",True,['number'],number,2
"3,circle,blue","3,square,yellow",True,['number'],number,3
"1,circle,red","1,triangle,red",True,"['color', 'number']",number,4
"4,square,yellow","4,circle,blue",True,['number'],number,5
"4,triangle,blue","4,circle,blue",True,"['color', 'number']",color,1
"1,triangle,green","1,triangle,red",False,"['shape', 'number']",color,0
