card,chosen card,success,matched on categories,active rule,win streak
"1,triangle,yellow","1,triangle,red",True,"['shape', 'number']",shape,1
"1,triangle,green","1,triangle,red",True,"['shape', 'number']",shape,2
"1,square,yellow","1,triangle,red",False,['number'],shape,0
"3,triangle,blue","1,triangle,red",True,['shape'],shape,1
"1,triangle,blue","1,triangle,red",True,"['shape', 'number']",shape,2
"3,star,blue","2,star,green",True,['shape'],shape,3
"1,square,red","3,square,yellow",True,['shape'],shape,4
"2,star,blue","2,star,green",True,"['shape', 'number']",shape,5
"3,square,blue","3,square,yellow",True,"['shape', 'number']",number,1
"2,circle,green","4,circle,blue",False,['shape'],number,0
"4,square,red","4,circle,blue",True,['number'],number,1
"2,triangle,blue","2,star,green",True,['number'],number,2
"4,star,blue","4,circle,blue",True,"['color', 'number']",number,3
"2,square,red","2,star,green",True,['number'],number,4
