card,chosen card,success,matched on categories,active rule,win streak
"3,square,green","2,star,green",False,['color'],number,0
"3,triangle,yellow","3,square,yellow",True,"['color', 'number']",number,1
"2,square,yellow","2,star,green",True,['number'],number,2
"2,circle,yellow","2,star,green",True,['number'],number,3
"1,star,blue","1,triangle,red",True,['number'],number,4
"2,circle,blue","2,star,green",True,['number'],number,5
"3,triangle,red","3,square,yellow",False,['number'],color,0
"3,star,green","2,star,green",True,"['shape', 'color']",color,1
"1,square,green","3,square,yellow",False,['shape'],color,0
"1,circle,red","1,triangle,red",True,"['color', 'number']",color,1
"2,square,blue","4,circle,blue",True,['color'],color,2
"1,circle,green","2,star,green",True,['color'],color,3
"4,circle,yellow","1,triangle,red",False,[],color,0
"2,triangle,green","2,star,green",True,"['color', 'number']",color,1
"3,triangle,green","3,square,yellow",False,['number'],color,0
"4,star,green","4,circle,blue",False,['number'],color,0
"1,circle,yellow","1,triangle,red",False,['number'],color,0
"1,star,green","2,star,green",True,"['shape', 'color']",color,1
"1,circle,blue","3,square,yellow",False,[],color,0
"1,triangle,blue","4,circle,blue",True,['color'],color,1
"4,triangle,blue","1,triangle,red",False,['shape'],color,0
"3,star,yellow","2,star,green",False,['shape'],color,0
"4,square,green","3,square,yellow",False,['shape'],color,0
"3,triangle,blue","4,circle,blue",True,['color'],color,1
